USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.6 128132  6188 ?        Ss   Nov15   2:33 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root         2  0.0  0.0      0     0 ?        S    Nov15   0:00 [kthreadd]
root         4  0.0  0.0      0     0 ?        S<   Nov15   0:00 [kworker/0:0H]
root         6  0.0  0.0      0     0 ?        S    Nov15   0:26 [ksoftirqd/0]
root         7  0.0  0.0      0     0 ?        S    Nov15   0:00 [migration/0]
root         8  0.0  0.0      0     0 ?        S    Nov15   0:00 [rcu_bh]
root         9  0.0  0.0      0     0 ?        R    Nov15   0:33 [rcu_sched]
root        10  0.0  0.0      0     0 ?        S<   Nov15   0:00 [lru-add-drain]
root        11  0.0  0.0      0     0 ?        S    Nov15   0:13 [watchdog/0]
root        13  0.0  0.0      0     0 ?        S    Nov15   0:00 [kdevtmpfs]
root        14  0.0  0.0      0     0 ?        S<   Nov15   0:00 [netns]
root        15  0.0  0.0      0     0 ?        S    Nov15   0:02 [khungtaskd]
root        16  0.0  0.0      0     0 ?        S<   Nov15   0:00 [writeback]
root        17  0.0  0.0      0     0 ?        S<   Nov15   0:00 [kintegrityd]
root        18  0.0  0.0      0     0 ?        S<   Nov15   0:00 [bioset]
root        19  0.0  0.0      0     0 ?        S<   Nov15   0:00 [bioset]
root        20  0.0  0.0      0     0 ?        S<   Nov15   0:00 [bioset]
root        21  0.0  0.0      0     0 ?        S<   Nov15   0:00 [kblockd]
root        22  0.0  0.0      0     0 ?        S<   Nov15   0:00 [md]
root        23  0.0  0.0      0     0 ?        S<   Nov15   0:00 [edac-poller]
root        24  0.0  0.0      0     0 ?        S<   Nov15   0:00 [watchdogd]
root        30  0.0  0.0      0     0 ?        S    Nov15   0:00 [kswapd0]
root        31  0.0  0.0      0     0 ?        SN   Nov15   0:00 [ksmd]
root        32  0.0  0.0      0     0 ?        SN   Nov15   0:12 [khugepaged]
root        33  0.0  0.0      0     0 ?        S<   Nov15   0:00 [crypto]
root        41  0.0  0.0      0     0 ?        S<   Nov15   0:00 [kthrotld]
root        43  0.0  0.0      0     0 ?        S<   Nov15   0:00 [kmpath_rdacd]
root        44  0.0  0.0      0     0 ?        S<   Nov15   0:00 [kaluad]
root        45  0.0  0.0      0     0 ?        S<   Nov15   0:00 [kpsmoused]
